nr,certificate_number,registration_date,name,administrator,location,county
582,645,2012-07-12,Lacu Rosu - Poiana Alba,Consiliul Judetean Harghita,Muntii Hasmas,Harghita
583,646,2012-07-12,Lacu Rosu - Bicajel - Lacu Rosu,Consiliul Judetean Harghita,Muntii Hasmas,Harghita
584,647,2012-07-12,Cheile Bicazului - Poiana Cupas,Consiliul Judetean Harghita,Muntii Hasmas,Harghita
585,648,2012-07-12,Cheile Bicazului - Poiana Vincli,Consiliul Judetean Harghita,Muntii Hasmas,Harghita
586,649,2012-07-12,Paraul Oii - Paraul Bicajel - Lacu Rosu,Consiliul Judetean Harghita,Muntii Hasmas,Harghita
587,650,2012-07-12,Paraul Cupas - Poiana Cupas,Consiliul Judetean Harghita,Muntii Hasmas,Harghita
588,651,2012-07-12,Cabana Piatra Singuratica - Poiana Alba,Consiliul Judetean Harghita,Muntii Hasmas,Harghita
589,652,2012-07-12,Cabana Piatra Singuratica - Saua Tarcaului,Consiliul Judetean Harghita,Muntii Hasmas,Harghita
590,653,2012-07-12,Balan - Cabana Piatra Singuratica (Paraul Kovacs),Consiliul Judetean Harghita,Muntii Hasmas,Harghita
591,654,2012-07-12,Balan - Cabana Piatra Singuratica (Paraul Szep),Consiliul Judetean Harghita,Muntii Hasmas,Harghita
592,655,2012-07-12,"Cabana Piatra Singuratica - Stanca ""La Panda"" - retur sau marcajul Balan - Cabana",Consiliul Judetean Harghita,Muntii Hasmas,Harghita
593,656,2012-07-12,Balan (Fantana lui Gal) - Saua Tarcaului,Consiliul Judetean Harghita,Muntii Hasmas,Harghita
594,657,2012-07-12,Toplita - Varful Retitis,Consiliul Judetean Harghita,Muntii Calimani,Harghita
595,658,2012-07-12,Galautas - Varful Batrana,Consiliul Judetean Harghita,Muntii Calimani,Harghita
596,659,2012-07-12,Toplita - Cartier Magherus - Partiile Magherus si Bradul - Poiana Refugiu Batrana - Varful Batrana,Consiliul Judetean Harghita,Muntii Calimani,Harghita
597,660,2012-07-12,Toplita - Partia Bradul - Poiana de sub Varful Batrana - Varful Batrana,Consiliul Judetean Harghita,Muntii Calimani,Harghita
598,661,2012-10-03,Azuga (DN1) - Varful Clabucetul Taurului - Cabana Garbova,Consiliul Judetean Prahova,Muntii Baiului,Prahova si Brasov
