certificate_number,column,correction
67,name,CLEANING_RULE.CONVERT_CHARS
67,name,CLEANING_RULE.CORRECT_STICKY_DASHES
67,name,CLEANING_RULE.REMOVE_MULTI_WHITESPACE
67,administrator,CLEANING_RULE.CONVERT_CHARS
67,county,CLEANING_RULE.CONVERT_CHARS
68,name,CLEANING_RULE.CONVERT_CHARS
68,name,CLEANING_RULE.CORRECT_STICKY_DASHES
68,name,CLEANING_RULE.REMOVE_MULTI_WHITESPACE
68,administrator,CLEANING_RULE.CONVERT_CHARS
68,county,CLEANING_RULE.CONVERT_CHARS
69,name,CLEANING_RULE.CONVERT_CHARS
69,name,CLEANING_RULE.CORRECT_STICKY_DASHES
69,name,CLEANING_RULE.REMOVE_MULTI_WHITESPACE
69,administrator,CLEANING_RULE.CONVERT_CHARS
69,county,CLEANING_RULE.CONVERT_CHARS
70,name,CLEANING_RULE.CONVERT_CHARS
70,name,CLEANING_RULE.CORRECT_STICKY_DASHES
70,name,CLEANING_RULE.REMOVE_MULTI_WHITESPACE
70,name,CLEANING_RULE.EXPAND_ABBREVIATIONS
70,name,CLEANING_RULE.REMOVE_MULTI_WHITESPACE
70,administrator,CLEANING_RULE.CONVERT_CHARS
70,county,CLEANING_RULE.CONVERT_CHARS
71,name,CLEANING_RULE.CONVERT_CHARS
71,name,CLEANING_RULE.CORRECT_STICKY_DASHES
71,name,CLEANING_RULE.REMOVE_MULTI_WHITESPACE
71,administrator,CLEANING_RULE.CONVERT_CHARS
71,county,CLEANING_RULE.CONVERT_CHARS
72,name,CLEANING_RULE.CONVERT_CHARS
72,name,CLEANING_RULE.CORRECT_STICKY_DASHES
72,name,CLEANING_RULE.REMOVE_MULTI_WHITESPACE
72,administrator,CLEANING_RULE.CONVERT_CHARS
72,county,CLEANING_RULE.CONVERT_CHARS
73,name,CLEANING_RULE.CONVERT_CHARS
73,name,CLEANING_RULE.FORMAT_PARENTHESIS
73,name,CLEANING_RULE.REMOVE_EXTRA_END_SPACES
73,name,CLEANING_RULE.CORRECT_STICKY_DASHES
73,name,CLEANING_RULE.REMOVE_MULTI_WHITESPACE
73,administrator,CLEANING_RULE.CONVERT_CHARS
73,county,CLEANING_RULE.CONVERT_CHARS
74,name,CLEANING_RULE.CONVERT_CHARS
74,name,CLEANING_RULE.CORRECT_STICKY_DASHES
74,name,CLEANING_RULE.REMOVE_MULTI_WHITESPACE
74,name,CLEANING_RULE.EXPAND_ABBREVIATIONS
74,name,CLEANING_RULE.REMOVE_MULTI_WHITESPACE
74,administrator,CLEANING_RULE.CONVERT_CHARS
74,county,CLEANING_RULE.CONVERT_CHARS
75,name,CLEANING_RULE.CONVERT_CHARS
75,name,CLEANING_RULE.CORRECT_STICKY_DASHES
75,name,CLEANING_RULE.REMOVE_MULTI_WHITESPACE
75,name,CLEANING_RULE.EXPAND_ABBREVIATIONS
75,name,CLEANING_RULE.REMOVE_MULTI_WHITESPACE
75,administrator,CLEANING_RULE.CONVERT_CHARS
75,county,CLEANING_RULE.CONVERT_CHARS
76,name,CLEANING_RULE.CONVERT_CHARS
76,name,CLEANING_RULE.FORMAT_PARENTHESIS
76,name,CLEANING_RULE.REMOVE_EXTRA_END_SPACES
76,name,CLEANING_RULE.CORRECT_STICKY_DASHES
76,name,CLEANING_RULE.REMOVE_MULTI_WHITESPACE
76,name,CLEANING_RULE.EXPAND_ABBREVIATIONS
76,name,CLEANING_RULE.REMOVE_MULTI_WHITESPACE
76,administrator,CLEANING_RULE.CONVERT_CHARS
76,county,CLEANING_RULE.CONVERT_CHARS
77,name,CLEANING_RULE.CONVERT_CHARS
77,name,CLEANING_RULE.CORRECT_STICKY_DASHES
77,name,CLEANING_RULE.REMOVE_MULTI_WHITESPACE
77,administrator,CLEANING_RULE.CONVERT_CHARS
77,county,CLEANING_RULE.CONVERT_CHARS
78,name,CLEANING_RULE.CONVERT_CHARS
78,name,CLEANING_RULE.REMOVE_EXTRA_END_SPACES
78,name,CLEANING_RULE.CORRECT_STICKY_DASHES
78,name,CLEANING_RULE.REMOVE_MULTI_WHITESPACE
78,administrator,CLEANING_RULE.CONVERT_CHARS
78,county,CLEANING_RULE.CONVERT_CHARS
79,name,CLEANING_RULE.CONVERT_CHARS
79,name,CLEANING_RULE.CORRECT_STICKY_DASHES
79,name,CLEANING_RULE.REMOVE_MULTI_WHITESPACE
79,name,CLEANING_RULE.EXPAND_ABBREVIATIONS
79,name,CLEANING_RULE.REMOVE_MULTI_WHITESPACE
79,administrator,CLEANING_RULE.CONVERT_CHARS
79,county,CLEANING_RULE.CONVERT_CHARS
80,name,CLEANING_RULE.CONVERT_CHARS
80,name,CLEANING_RULE.CORRECT_STICKY_DASHES
80,name,CLEANING_RULE.REMOVE_MULTI_WHITESPACE
80,administrator,CLEANING_RULE.CONVERT_CHARS
80,county,CLEANING_RULE.CONVERT_CHARS
81,name,CLEANING_RULE.CONVERT_CHARS
81,name,CLEANING_RULE.CORRECT_STICKY_DASHES
81,name,CLEANING_RULE.REMOVE_MULTI_WHITESPACE
81,administrator,CLEANING_RULE.CONVERT_CHARS
81,county,CLEANING_RULE.CONVERT_CHARS
82,name,CLEANING_RULE.CONVERT_CHARS
82,name,CLEANING_RULE.CORRECT_STICKY_DASHES
82,name,CLEANING_RULE.REMOVE_MULTI_WHITESPACE
82,administrator,CLEANING_RULE.CONVERT_CHARS
82,county,CLEANING_RULE.CONVERT_CHARS
83,name,CLEANING_RULE.CONVERT_CHARS
83,name,CLEANING_RULE.CORRECT_STICKY_DASHES
83,name,CLEANING_RULE.REMOVE_MULTI_WHITESPACE
83,name,CLEANING_RULE.EXPAND_ABBREVIATIONS
83,name,CLEANING_RULE.REMOVE_MULTI_WHITESPACE
83,administrator,CLEANING_RULE.CONVERT_CHARS
83,county,CLEANING_RULE.CONVERT_CHARS
84,name,CLEANING_RULE.CONVERT_CHARS
84,name,CLEANING_RULE.CORRECT_STICKY_DASHES
84,name,CLEANING_RULE.REMOVE_MULTI_WHITESPACE
84,name,CLEANING_RULE.EXPAND_ABBREVIATIONS
84,name,CLEANING_RULE.REMOVE_MULTI_WHITESPACE
84,administrator,CLEANING_RULE.CONVERT_CHARS
84,county,CLEANING_RULE.CONVERT_CHARS
85,name,CLEANING_RULE.CONVERT_CHARS
